gender,shoulder_to_hip,waist_to_hip,shoulder_to_waist,torso_aspect,symmetry,midline_offset,shape_label
female,1.0706,0.8597,1.2453,1.2070,0.9938,0.0206,hourglass
female,1.0659,0.8628,1.2353,1.1934,0.9522,0.0053,hourglass
female,1.0752,0.8662,1.2412,1.1892,0.9626,0.0030,hourglass
female,1.0706,0.8637,1.2397,1.1962,0.9690,0.0005,hourglass
female,1.0727,0.8575,1.2509,1.2044,0.9909,0.0048,hourglass
female,1.0698,0.8622,1.2408,1.1928,0.9651,0.0009,hourglass
female,1.0805,0.8578,1.2596,1.2165,0.9844,0.0090,hourglass
female,1.0749,0.8649,1.2428,1.2118,0.9741,0.0052,hourglass
female,1.0695,0.8556,1.2499,1.2069,0.9563,0.0019,hourglass
female,1.0612,0.8651,1.2267,1.2072,0.9854,0.0021,hourglass
female,1.0696,0.8506,1.2574,1.1889,0.9613,0.0044,hourglass
female,1.0643,0.8684,1.2256,1.1998,0.9568,0.0001,hourglass
female,1.0659,0.8640,1.2337,1.2051,0.9788,0.0084,hourglass
female,1.0698,0.8587,1.2458,1.2101,0.9686,0.0236,hourglass
female,1.0676,0.8520,1.2531,1.2126,0.9881,0.0110,hourglass
female,1.0777,0.8562,1.2586,1.1939,0.9982,0.0028,hourglass
female,1.0661,0.8580,1.2425,1.1978,0.9675,0.0160,hourglass
female,1.0679,0.8638,1.2363,1.2095,0.9830,0.0108,hourglass
female,1.0808,0.8562,1.2624,1.2123,0.9854,0.0051,hourglass
female,1.0764,0.8678,1.2405,1.2143,0.9559,0.0059,hourglass
female,1.0714,0.8604,1.2452,1.2049,0.9979,0.0011,hourglass
female,1.0814,0.8623,1.2542,1.2013,0.9857,0.0047,hourglass
female,1.0784,0.8668,1.2441,1.2009,0.9998,0.0212,hourglass
female,1.0706,0.8566,1.2499,1.2042,0.9934,0.0139,hourglass
female,1.0724,0.8626,1.2432,1.2007,0.9780,0.0187,hourglass
female,1.0705,0.8575,1.2483,1.2048,0.9898,0.0211,hourglass
female,1.0722,0.8576,1.2503,1.2057,0.9529,0.0154,hourglass
female,1.0715,0.8638,1.2404,1.2006,0.9818,0.0036,hourglass
female,1.0680,0.8696,1.2282,1.2028,0.9825,0.0122,hourglass
female,1.0706,0.8631,1.2405,1.2073,0.9650,0.0000,hourglass
female,1.0783,0.8665,1.2445,1.2084,0.9658,0.0202,hourglass
female,1.0724,0.8705,1.2319,1.2033,0.9579,0.0120,hourglass
female,1.0683,0.8535,1.2516,1.2009,0.9939,0.0066,hourglass
female,1.0750,0.8643,1.2438,1.1983,0.9957,0.0021,hourglass
female,1.0696,0.8576,1.2472,1.2150,0.9645,0.0089,hourglass
female,1.0725,0.8641,1.2412,1.2116,0.9785,0.0287,hourglass
female,1.0700,0.8591,1.2456,1.2172,0.9988,0.0151,hourglass
female,1.0754,0.8538,1.2596,1.1999,0.9669,0.0036,hourglass
female,1.0690,0.8608,1.2419,1.2024,0.9679,0.0022,hourglass
female,1.0645,0.8622,1.2346,1.2132,0.9766,0.0109,hourglass
female,1.0809,0.8737,1.2372,1.1936,0.9550,0.0041,hourglass
female,1.0622,0.8613,1.2332,1.2035,0.9517,0.0032,hourglass
female,1.0806,0.8644,1.2501,1.2063,0.9723,0.0003,hourglass
female,1.0766,0.8562,1.2573,1.2007,0.9673,0.0173,hourglass
female,1.0756,0.8549,1.2582,1.1901,0.9608,0.0035,hourglass
female,1.0750,0.8558,1.2561,1.2108,0.9652,0.0005,hourglass
female,1.0726,0.8630,1.2428,1.1966,0.9638,0.0000,hourglass
female,1.0720,0.8530,1.2567,1.1952,0.9905,0.0127,hourglass
female,1.0612,0.8612,1.2322,1.2017,0.9592,0.0053,hourglass
female,1.0631,0.8525,1.2470,1.1891,0.9574,0.0120,hourglass
female,1.0712,0.8553,1.2524,1.2005,0.9761,0.0088,hourglass
female,1.0702,0.8585,1.2466,1.1918,0.9928,0.0065,hourglass
female,1.0713,0.8551,1.2528,1.2095,0.9500,0.0028,hourglass
female,1.0757,0.8651,1.2435,1.2019,0.9660,0.0127,hourglass
female,1.0629,0.8585,1.2382,1.1992,0.9719,0.0244,hourglass
female,1.0770,0.8638,1.2468,1.1844,0.9525,0.0059,hourglass
female,1.0683,0.8603,1.2418,1.1987,0.9627,0.0004,hourglass
female,1.0724,0.8553,1.2539,1.2030,0.9881,0.0014,hourglass
female,1.0697,0.8532,1.2537,1.2081,0.9821,0.0063,hourglass
female,1.0668,0.8604,1.2399,1.2009,0.9952,0.0043,hourglass
female,1.0706,0.8629,1.2407,1.2047,0.9787,0.0012,hourglass
female,1.0682,0.8563,1.2475,1.2177,0.9938,0.0218,hourglass
female,1.0667,0.8650,1.2331,1.1752,0.9767,0.0070,hourglass
female,1.0728,0.8624,1.2440,1.1967,0.9582,0.0171,hourglass
female,1.0840,0.8603,1.2601,1.1729,0.9525,0.0071,hourglass
female,1.0785,0.8622,1.2509,1.1958,0.9525,0.0014,hourglass
female,1.0726,0.8632,1.2426,1.2035,0.9777,0.0082,hourglass
female,1.0714,0.8617,1.2434,1.1970,0.9869,0.0086,hourglass
female,1.0839,0.8683,1.2483,1.2138,0.9975,0.0018,hourglass
female,1.0689,0.8614,1.2408,1.2004,0.9774,0.0061,hourglass
female,1.0779,0.8632,1.2487,1.1836,0.9515,0.0094,hourglass
female,1.0632,0.8564,1.2414,1.2118,0.9910,0.0002,hourglass
female,1.0669,0.8704,1.2258,1.2074,0.9861,0.0043,hourglass
female,1.0706,0.8615,1.2427,1.2066,0.9852,0.0043,hourglass
female,1.0694,0.8617,1.2411,1.2052,0.9796,0.0008,hourglass
female,1.0697,0.8628,1.2398,1.2007,0.9995,0.0048,hourglass
female,1.0705,0.8549,1.2521,1.1991,0.9678,0.0060,hourglass
female,1.0643,0.8538,1.2466,1.2004,0.9929,0.0062,hourglass
female,1.0765,0.8602,1.2515,1.1986,0.9841,0.0160,hourglass
female,1.0806,0.8626,1.2528,1.1790,0.9938,0.0098,hourglass
female,1.0700,0.8646,1.2376,1.1972,0.9845,0.0230,hourglass
female,1.0682,0.8620,1.2393,1.2131,0.9824,0.0067,hourglass
female,1.0621,0.8609,1.2338,1.1983,0.9567,0.0095,hourglass
female,1.0679,0.8538,1.2507,1.2097,0.9852,0.0179,hourglass
female,1.0728,0.8556,1.2538,1.2010,0.9839,0.0031,hourglass
female,1.0642,0.8578,1.2406,1.1963,0.9838,0.0111,hourglass
female,1.0738,0.8604,1.2481,1.2060,0.9908,0.0029,hourglass
female,1.0662,0.8625,1.2363,1.2157,0.9507,0.0060,hourglass
female,1.0679,0.8673,1.2313,1.2013,0.9821,0.0189,hourglass
female,1.0672,0.8613,1.2390,1.1925,0.9608,0.0095,hourglass
female,1.0668,0.8549,1.2479,1.1988,0.9762,0.0041,hourglass
female,1.0737,0.8500,1.2631,1.1946,0.9957,0.0220,hourglass
female,1.0633,0.8675,1.2258,1.2079,0.9543,0.0125,hourglass
female,1.0659,0.8570,1.2437,1.1974,0.9760,0.0219,hourglass
female,1.0751,0.8566,1.2550,1.1907,0.9615,0.0088,hourglass
female,1.0695,0.8615,1.2415,1.1936,0.9829,0.0001,hourglass
female,1.0632,0.8630,1.2319,1.1989,0.9745,0.0091,hourglass
female,1.0647,0.8622,1.2350,1.1886,0.9841,0.0004,hourglass
female,1.0674,0.8585,1.2433,1.1968,0.9941,0.0065,hourglass
female,1.0738,0.8591,1.2499,1.1924,0.9634,0.0049,hourglass
female,1.0657,0.8594,1.2401,1.2134,0.9741,0.0009,hourglass
female,1.0744,0.8582,1.2520,1.2155,0.9668,0.0006,hourglass
female,1.0627,0.8593,1.2367,1.2077,0.9703,0.0148,hourglass
female,1.0692,0.8603,1.2428,1.1915,0.9609,0.0009,hourglass
female,1.0642,0.8474,1.2558,1.1835,0.9582,0.0060,hourglass
female,1.0714,0.8586,1.2479,1.1996,0.9919,0.0039,hourglass
female,1.0652,0.8580,1.2416,1.1914,0.9559,0.0094,hourglass
female,1.0750,0.8591,1.2512,1.1900,0.9811,0.0072,hourglass
female,1.0712,0.8582,1.2482,1.1996,0.9897,0.0158,hourglass
female,1.0707,0.8621,1.2420,1.2040,0.9662,0.0087,hourglass
female,1.0706,0.8628,1.2409,1.2105,0.9902,0.0017,hourglass
female,1.0768,0.8527,1.2628,1.2094,0.9660,0.0002,hourglass
female,1.0657,0.8561,1.2448,1.1965,0.9976,0.0114,hourglass
female,1.0710,0.8685,1.2331,1.1968,0.9561,0.0007,hourglass
female,1.0739,0.8582,1.2514,1.1898,0.9787,0.0132,hourglass
female,1.0739,0.8747,1.2277,1.1930,0.9945,0.0110,hourglass
female,1.0553,0.8594,1.2279,1.1980,0.9910,0.0057,hourglass
female,1.0692,0.8520,1.2550,1.1981,0.9942,0.0124,hourglass
female,1.0669,0.8558,1.2467,1.1983,0.9832,0.0150,hourglass
female,1.0728,0.8500,1.2620,1.2060,0.9606,0.0162,hourglass
female,1.0679,0.8675,1.2311,1.1962,0.9793,0.0143,hourglass
female,1.0712,0.8613,1.2437,1.1899,0.9949,0.0020,hourglass
female,1.0666,0.8598,1.2406,1.1841,0.9859,0.0204,hourglass
female,1.0647,0.8603,1.2375,1.2051,0.9852,0.0136,hourglass
female,1.0739,0.8547,1.2565,1.2140,0.9918,0.0043,hourglass
female,1.0674,0.8580,1.2441,1.2009,0.9547,0.0027,hourglass
female,1.0756,0.8614,1.2487,1.1941,0.9869,0.0162,hourglass
female,1.0782,0.8582,1.2564,1.2128,0.9597,0.0064,hourglass
female,1.0666,0.8639,1.2345,1.1987,0.9913,0.0064,hourglass
female,1.0779,0.8444,1.2766,1.1942,0.9718,0.0083,hourglass
female,1.0637,0.8616,1.2346,1.2076,0.9931,0.0021,hourglass
female,1.0732,0.8573,1.2519,1.1896,0.9817,0.0042,hourglass
female,1.0731,0.8631,1.2433,1.1910,0.9793,0.0157,hourglass
female,1.0823,0.8641,1.2525,1.1959,0.9709,0.0178,hourglass
female,1.0585,0.8595,1.2316,1.1867,0.9715,0.0109,hourglass
female,1.0686,0.8578,1.2457,1.2056,0.9923,0.0131,hourglass
female,1.0678,0.8582,1.2442,1.1936,0.9670,0.0030,hourglass
female,1.0601,0.8586,1.2347,1.1947,0.9537,0.0146,hourglass
female,1.0795,0.8596,1.2559,1.1960,0.9590,0.0094,hourglass
female,1.0644,0.8538,1.2466,1.1937,0.9659,0.0108,hourglass
female,1.0585,0.8609,1.2294,1.2003,0.9794,0.0029,hourglass
female,1.0682,0.8622,1.2389,1.2015,0.9825,0.0045,hourglass
female,1.0731,0.8677,1.2368,1.1901,0.9818,0.0056,hourglass
female,1.0783,0.8601,1.2537,1.2041,0.9568,0.0065,hourglass
female,1.0754,0.8526,1.2614,1.1796,0.9711,0.0016,hourglass
female,1.0825,0.8652,1.2512,1.2028,0.9518,0.0013,hourglass
female,1.0735,0.8656,1.2401,1.1931,0.9797,0.0022,hourglass
female,1.0650,0.8595,1.2391,1.2157,0.9854,0.0056,hourglass
female,1.0706,0.8548,1.2525,1.1895,0.9672,0.0190,hourglass
female,1.0686,0.8585,1.2447,1.1834,0.9806,0.0076,hourglass
female,1.0580,0.8677,1.2193,1.1929,0.9746,0.0019,hourglass
female,1.0698,0.8615,1.2417,1.2055,0.9848,0.0083,hourglass
female,1.0627,0.8530,1.2458,1.2171,0.9669,0.0176,hourglass
female,1.0678,0.8593,1.2427,1.1799,0.9590,0.0063,hourglass
female,1.0702,0.8648,1.2375,1.1831,0.9649,0.0136,hourglass
female,1.0600,0.8646,1.2261,1.1978,0.9575,0.0005,hourglass
female,1.0767,0.8562,1.2575,1.1858,0.9520,0.0091,hourglass
female,1.0669,0.8626,1.2369,1.1939,0.9937,0.0203,hourglass
female,1.0697,0.8546,1.2516,1.1936,0.9719,0.0028,hourglass
female,1.0720,0.8600,1.2466,1.1875,0.9720,0.0081,hourglass
female,1.0724,0.8603,1.2465,1.2017,0.9807,0.0053,hourglass
female,1.0687,0.8638,1.2371,1.1988,0.9550,0.0072,hourglass
female,1.0763,0.8587,1.2534,1.2073,0.9593,0.0073,hourglass
female,1.0709,0.8580,1.2482,1.1995,0.9629,0.0032,hourglass
