iter	Passed	Remaining
0	2	1457
1	5	1264
2	7	1292
3	11	1382
4	13	1328
5	15	1289
6	17	1244
7	19	1209
8	21	1185
9	24	1208
10	26	1199
11	29	1180
12	31	1163
13	33	1161
14	35	1147
15	37	1140
16	40	1164
17	43	1163
18	45	1155
19	47	1146
20	49	1138
21	52	1133
22	54	1135
23	57	1136
24	59	1132
25	62	1131
26	64	1122
27	66	1119
28	68	1114
29	71	1113
30	73	1119
31	76	1116
32	78	1114
33	81	1113
34	83	1109
35	85	1105
36	88	1102
37	90	1104
38	93	1104
39	95	1102
40	98	1102
41	100	1100
42	103	1099
43	106	1103
44	108	1100
45	111	1095
46	113	1095
47	116	1093
48	118	1091
49	121	1093
50	124	1092
51	126	1089
52	129	1088
53	131	1085
54	133	1082
55	136	1084
56	139	1083
57	141	1081
58	144	1077
59	146	1073
60	148	1071
61	151	1070
62	154	1069
63	156	1066
64	159	1065
65	161	1062
66	164	1061
67	166	1059
68	169	1061
69	172	1058
70	174	1055
71	176	1052
72	179	1049
73	181	1046
74	184	1046
75	187	1047
76	190	1044
77	192	1042
78	194	1039
79	197	1035
80	199	1033
81	202	1033
82	205	1031
83	207	1028
84	209	1025
85	212	1022
86	214	1019
87	217	1019
88	220	1019
89	222	1015
90	225	1012
91	227	1009
92	229	1006
93	232	1004
94	235	1004
95	238	1002
96	240	1000
97	243	997
98	245	995
99	248	992
100	250	990
101	253	989
102	255	985
103	258	983
104	260	981
105	263	978
106	266	978
107	269	976
108	271	974
109	273	971
110	276	968
111	278	965
112	281	963
113	284	962
114	286	958
115	289	956
116	291	954
117	294	952
118	296	949
119	299	948
120	302	946
121	304	944
122	307	941
123	309	938
124	312	936
125	314	934
126	317	932
127	320	930
128	322	927
129	324	924
130	327	921
131	329	918
132	332	916
133	334	913
134	336	910
135	339	907
136	341	904
137	343	901
138	346	898
139	348	896
140	350	893
141	353	890
142	355	888
143	358	885
144	360	882
145	362	879
146	365	877
147	367	873
148	369	871
149	372	868
150	374	865
151	376	863
152	379	860
153	382	859
154	384	856
155	387	853
156	389	851
157	391	847
158	394	845
159	397	843
160	399	842
161	402	839
162	404	836
163	406	833
164	409	831
165	412	829
166	415	828
167	417	825
168	420	823
169	422	820
170	424	817
171	427	814
172	430	813
173	432	811
174	435	808
175	437	805
176	440	803
177	442	800
178	445	799
179	448	796
180	450	794
181	453	792
182	455	789
183	458	787
184	461	785
185	464	783
186	466	780
187	468	777
188	471	775
189	473	772
190	475	769
191	478	767
192	481	765
193	483	762
194	485	759
195	487	756
196	490	753
197	492	751
198	495	749
199	497	746
200	500	744
201	502	741
202	505	738
203	507	736
204	509	733
205	512	731
206	514	728
207	516	725
208	519	723
209	521	720
210	524	718
211	527	716
212	529	713
213	532	711
214	534	708
215	536	705
216	539	703
217	541	700
218	544	698
219	546	695
220	548	692
221	551	690
222	553	687
223	555	684
224	557	681
225	560	679
226	563	677
227	565	674
228	567	672
229	570	669
230	572	666
231	575	664
232	577	662
233	580	659
234	582	656
235	584	654
236	587	651
237	589	649
238	592	646
239	594	644
240	597	641
241	599	638
242	601	636
243	603	633
244	606	631
245	609	629
246	611	626
247	614	623
248	616	621
249	618	618
250	621	616
251	623	613
252	626	611
253	628	609
254	631	606
255	633	603
256	635	601
257	638	598
258	640	596
259	643	593
260	645	591
261	647	588
262	650	586
263	652	583
264	655	581
265	658	579
266	660	576
267	662	573
268	665	571
269	667	568
270	669	566
271	672	564
272	675	561
273	677	559
274	680	556
275	682	553
276	684	551
277	687	548
278	690	546
279	692	544
280	695	541
281	697	539
282	700	536
283	702	534
284	705	532
285	707	529
286	710	527
287	712	524
288	715	522
289	717	519
290	721	517
291	724	515
292	726	513
293	729	510
294	731	508
295	733	505
296	736	503
297	739	501
298	741	498
299	744	496
300	746	493
301	748	490
302	750	488
303	753	485
304	756	483
305	758	480
306	760	478
307	763	475
308	765	473
309	768	471
310	771	468
311	773	466
312	776	463
313	778	461
314	780	458
315	783	456
316	785	453
317	788	451
318	790	448
319	793	446
320	795	443
321	798	441
322	800	438
323	803	436
324	806	434
325	808	431
326	810	428
327	813	426
328	815	423
329	817	421
330	820	419
331	823	416
332	825	413
333	827	411
334	830	408
335	832	406
336	835	403
337	837	401
338	840	398
339	842	396
340	844	393
341	846	391
342	849	388
343	852	386
344	855	384
345	857	381
346	860	379
347	862	376
348	865	374
349	868	372
350	870	369
351	872	366
352	875	364
353	877	361
354	879	359
355	882	356
356	885	354
357	888	352
358	890	349
359	892	347
360	895	344
361	898	342
362	901	340
363	903	337
364	905	335
365	908	332
366	910	330
367	912	327
368	915	325
369	918	322
370	920	320
371	922	317
372	925	315
373	927	312
374	929	309
375	932	307
376	934	305
377	937	302
378	939	299
379	942	297
380	944	294
381	946	292
382	949	290
383	952	287
384	954	285
385	956	282
386	958	280
387	961	277
388	963	275
389	966	272
390	968	270
391	970	267
392	972	264
393	975	262
394	977	259
395	980	257
396	983	255
397	985	252
398	987	250
399	990	247
400	992	245
401	994	242
402	997	240
403	999	237
404	1002	235
405	1004	232
406	1006	229
407	1008	227
408	1011	224
409	1014	222
410	1016	220
411	1018	217
412	1020	215
413	1023	212
414	1025	210
415	1028	207
416	1030	205
417	1033	202
418	1035	200
419	1037	197
420	1040	195
421	1042	192
422	1045	190
423	1047	187
424	1050	185
425	1052	182
426	1054	180
427	1057	177
428	1059	175
429	1062	172
430	1065	170
431	1067	168
432	1069	165
433	1071	163
434	1074	160
435	1077	158
436	1079	155
437	1082	153
438	1084	150
439	1086	148
440	1089	145
441	1091	143
442	1094	140
443	1096	138
444	1099	135
445	1101	133
446	1103	130
447	1106	128
448	1108	125
449	1111	123
450	1113	121
451	1116	118
452	1118	116
453	1120	113
454	1123	111
455	1125	108
456	1128	106
457	1130	103
458	1133	101
459	1135	98
460	1137	96
461	1140	93
462	1143	91
463	1145	88
464	1148	86
465	1150	83
466	1153	81
467	1156	79
468	1161	76
469	1164	74
470	1166	71
471	1168	69
472	1171	66
473	1174	64
474	1176	61
475	1179	59
476	1181	56
477	1184	54
478	1186	52
479	1190	49
480	1195	47
481	1197	44
482	1203	42
483	1209	39
484	1213	37
485	1218	35
486	1221	32
487	1224	30
488	1228	27
489	1231	25
490	1234	22
491	1236	20
492	1239	17
493	1242	15
494	1245	12
495	1247	10
496	1250	7
497	1252	5
498	1255	2
499	1258	0
